title,price,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"2.5 Storied House on Sale at Kathmandu-14, kalanki.","2,90,00,000",Kathmandu,Kathmandu,Two And Half Floors,,9 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8585
"2.5 Storied House on Sale at Tarkeshwor-5, Lolang,Kathmandu.","95,00,000","Kathmandu, Tarkeshwor",Kathmandu,Two And Half Floors,,7 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8582
"3.5 Storied House on Sale at Jayabahageshwori-8 ,Kathmandu.","3,85,00,000","Kathmandu, Dakshinamurti Marg,jayabahageshworiThe Pashupatinath Temple is 3 minutes walking distance from the Residence.",Kathmandu,3.5 Floors,,5 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8578
"4.5 Storey Commercial House for Sale @ Main  Chowk  Putalisadak Chowk,Kathmandu.","5,00,00,000","Kathmandu,  Putalisadak Main ChowkJUST 1 BLOCK INSIDE MAIN DILLIBAZAR ROAD.",Kathmandu,4.5 Floors,,7 Bed Room,6 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8576
"Residential House on Sale at OM Marg,Bikash Chowk, Bharatpur-05 ,chitwan","1,30,00,000","Chitwan, Bharatpur, bikash chowk",Chitwan,1 and Half Floors,,3 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8575
"3 Storied House on Sale at Baluwakhani, Nikhileshwor Tole,Budhanilkanth-10,Kathmandu.","3,00,00,000","Kathmandu, Budhanilkantha, Baluwakhani100 meter East from Nikhileshwor Temple.",Kathmandu,Three Floors,,5 Bed Room,4 Bath Room,3 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8573
"3 Storied House on Sale at Kharipot, Budhanilkantha-11, Kathmandu.","2,60,00,000","Kathmandu, Budhanilkantha, Kharibot",Kathmandu,Three Floors,,6 Bed Room,3 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8568
"Residential House on sale at Tarkeshwar-7 Tusal chaur, Kathmandu.","2,30,00,000","Kathmandu, Tarkeshwar, FutungGyan bhumi School area,Tarkeshwar-7 Tusal chaur And Nagpokhari.",Kathmandu,Two And Half Floors,,11 Bed Room,3 Bath Room,3 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8567
"Commercial Land with House On Sale At Thaiba,Lalitpur.","26,00,00,000","Lalitpur, Thaiba15 min From Ring Road.",Lalitpur,Two And Half Floors,,6 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8566
"Residential House on sale at Tahachal,Kathmandu","2,80,00,000","Kathmandu, TahachalNear Mahendra Ratna Campus",Kathmandu,Two Floors,,7 Bed Room,2 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8562
"4 &1/2 Storied Commercial House on Sale at Sanepa,Dokhadol,Lalitpur","14,15,00,000","Lalitpur, dokhadol",Lalitpur,4.5 Floors,,16 Bed Room,16 Bath Room,3 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8561
"Well Furnished house on Sale at Tilottma-7 Bhalwari, Rupandehi","1,00,00,000","Rupandehi, TilottamaSamabeshi Path, infornt of Nabil Bank (100 Mtr east from Butwal-Bhairahawa Highway, Bhalwari, Tilottma-9 Rupandehi",Rupandehi,2 Floors,,4 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8552
"Residential House on Sale at Sunsari,Itahari.","3,75,00,000","Sunsari, Itahari150 Mtrs from Dharan Biratnagar Highway, Near to Hotel pathivara n Nabil bank,",Sunsari,3 Floors,,11 Bed Room,5 Bath Room,4 Living Room,4 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8547
"Residential House on sale at Satungal/Chandragiri,Kathmandu","2,60,00,000","Kathmandu, Chandragiri",Kathmandu,2.5 Floors,,5 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8539
"Residential House on Sale at gokarneshwor,Kathmandu","1,25,00,000","Kathmandu, Gokarneshwar",Kathmandu,2.5 Floors,,8 Bed Room,3 Bath Room,1 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8537
"Residential House on sale at Imadol,Lalitpur.","1,59,00,000","Lalitpur, Mahalaxmi, Nayabasti1.5 km away from Gwarko chowk",Lalitpur,2.5 Floors,,4 Bed Room,4 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8535
"Modern Bungalow : House For Sale At Lamatar,Lalitpur","2,10,00,000","Lalitpur, Mahalaxmi7.5 km East from Gwarko chowk Lamatar 500mtr north from lamatar Ward Office.",Lalitpur,2.5 Floors,,4 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8533
"House Built In 7.25 Dhoor Is For Sale At Dharan -2, Ratna Road","3,90,00,000","Sunsari, Dharan",Sunsari,2 Floors,,4 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8529
"House at Imadol, Boje Pokhari Chowk ,Lalitpur","2,50,00,000","Lalitpur, Mahalaxmi300m Away from Imdol Boje Pokhari Chowk",Lalitpur,2.5 Floors,,7 Bed Room,4 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8526
"Residential/ Commercial House on Sale at Bhimsensthan, Kathmandu","5,50,00,000",KathmanduNear paropkar school,KathmanduNear paropkar school,5 Floors,,12 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8518
"Residential House on Sale at Kalimati,Tahachal,Kathmandu","2,00,00,000","Kathmandu, TahachalNear NIC Bank",Kathmandu,4 Floors,,9 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8517
"Residential House on sale at Godawari,Lalitpur","1,06,00,000","Lalitpur, Godawari, Badikhel",Lalitpur,4 Floors,,9 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8512
"Residential House on Sale at Shankhamul,New Baneshwor.","3,75,00,000","Kathmandu, shankhamulNear to Manohara Dovan Pul",Kathmandu,2.5 Floors,,6 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8511
"Beautiful House on Sale at Balkumari, Lalitpur.","2,70,00,000","Lalitpur, Balkumari",Lalitpur,2.5 Floors,,3 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8507
"Residential House on sale at Imadol,Lalitpur.","2,40,00,000","Lalitpur, Mahalaxmiopposite of Green Hill City.",Lalitpur,2.5 Floors,,5 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8505
Brand New House @ Budhanilkantha,"2,40,00,000","Kathmandu, Budhanilkantha, Chapali1.5 km east of Hattigauda chowk,Beside President Vidya Devi Residence.",Kathmandu,2.5 Floors,,7 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8500
Modern Bungalow : House For Sale Near Medicity Hospital,"3,65,00,000","Lalitpur, Kusuntibungalow has nearest access to Ekantakuna, Balkhu, Kalanki, Gwarko, Koteshwor, Jawalakhel, Jhamsikhel, and Sanepa area. 200 m from closest super market. 0.5 km from ring road.",Lalitpur,2.5 Floors,,4 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8497
"Beautiful House on Sale at Sirutar,Bhaktpur","1,70,00,000","Bhaktapur, Sirutar3 km away from kausaltar",Bhaktapur,2.5 Floors,,5 Bed Room,3 Bath Room,2 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8496
"Residential House on sale at Harisiddhi,Lalitpur","3,20,00,000",LalitpurNear Cancer Hospital,LalitpurNear Cancer Hospital,2.5 Floors,,6 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8495
"House on sale at Gaushala, Kathmandu","5,65,00,000",Kathmandu,Kathmandu,2.5 Floors,,6 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8486
"Commercial house on sale at Shankhmul, Kathmandu","8,50,00,000",Kathmandu,Kathmandu,2.5 Floors,,20 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8485
"Residential/ Commercial House on Sale at Sukedhara, Kathmandu","2,70,00,000","Kathmandu, sukedharaChakrapath Highway,Sukedhara Bata 1 km Vitra,Srijana Chowk.",Kathmandu,3.5 Floors,,10 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8484
"Well furnished 4BHK Apartment in Pepsicola,Suncity, Kathmandu","1,70,00,000",Kathmandu,Kathmandu,3.5 Floors,,4 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8483
"Semi-Furnished Bunglow for Sale at Budhanilkanth, Kathmandu","3,50,00,000","Kathmandu, Budhanilkantha",Kathmandu,2.5 Floors,,20 Bed Room,7 Bath Room,2 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8480
"Residential House on Sale at Baniyatar Height,Kathmandu","2,75,00,000","Kathmandu, Tokha, baniyatar height500 meter West from Grande International Hospital",Kathmandu,2.5 Floors,,7 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8477
"Luxurious House for sale Near Milan Tol, Grande Hospital, Tokha","2,80,00,000","Kathmandu, TokhaNear Vidyakunj School",Kathmandu,2.5 Floors,,7 Bed Room,4 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8469
"Brand New House on Sale at Tokha, kathmandu","2,30,00,000","Kathmandu, TokhaNear Tokha petrol pump",Kathmandu,2.5 Floors,,5 Bed Room,3 Bath Room,3 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8468
"Beautiful House on sale at Bauddha/Nayabasti,Kathmandu","2,40,00,000",Kathmandu,Kathmandu,2.5 Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8463
"Residential House on Sale at Banepa, kavreplanchowk","84,00,000","Kavre, BanepaNear krishna Mandir",Kavre,1.5 Floors,,1 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8460
"Residential House on Sale at Baluwatar, Kathmandu","5,25,00,000",KathmanduShiv travels and tours chowk,KathmanduShiv travels and tours chowk,2.5 Floors,,6 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8459
Flat System House on sale at Samakhusi Kathmandu,"2,05,00,000",Kathmandu,Kathmandu,2.5 Floors,,6 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8456
"Residential House on Sale at Bafal, Kathmandu","2,15,00,000","Kathmandu, Nagarjun",Kathmandu,3.5 Floors,,4 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8453
"Residential House on sale at Swayambhu/Chapalkarkhana, Kathmandu","3,50,00,000",KathmanduChapalkarkhana,KathmanduChapalkarkhana,2.5 Floors,,4 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8452
"Beautiful House on Sale at Sanobharyang, Kathmandu","3,00,00,000","Kathmandu, NagarjunNear Raato gumba",Kathmandu,2.5 Floors,,5 Bed Room,4 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8451
"Residential House on Sale at Kapan, Kathmandu","1,40,00,000","Kathmandu, Kapan",Kathmandu,2.5 Floors,,5 Bed Room,3 Bath Room,1 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8450
"Commercial Building on sale at Jorpati/Gokarneshwar, Kathmandu","5,75,00,000","Kathmandu, Gokarneshwar",Kathmandu,5 Floors,,56 Bed Room,5 Bath Room,1 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8446
"Residential House on sale at Thulobharang, Kathmandu","2,37,00,000","Kathmandu, Nagarjun",Kathmandu,3 Floors,,7 Bed Room,4 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8445
"Residential House on sale at Thulobharang, Kathmandu","3,00,00,000","Kathmandu, Nagarjun",Kathmandu,2.5 Floors,,5 Bed Room,4 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8444
Residential House on sale at Tikathali,"1,80,00,000","Lalitpur, Tikathali",Lalitpur,2.5 Floors,,9 Bed Room,7 Bath Room,3 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8442
"Commercial House with land on Sale at Hattiban, Lalitpur","7,00,00,000",LalitpurNear LA School and 300m from Hattiban highway,LalitpurNear LA School and 300m from Hattiban highway,4.5 Floors,,12 Bed Room,7 Bath Room,1 Living Room,6 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8441
"Residential House on Sale at Bhainsepati, Lalitpur","3,15,00,000",LalitpurNear Medicity Hospital,LalitpurNear Medicity Hospital,3 Floors,,5 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8440
"Beautiful House on sale at Bhainsepati/Near Medicity Hospital, Lalitpur","3,75,00,000",LalitpurNear Medicity Hospital,LalitpurNear Medicity Hospital,3.5 Floors,,5 Bed Room,6 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8439
"Residential House on Sale at Bhainsepati, Lalitpur","3,75,00,000",LalitpurNear Medicity Hospital,LalitpurNear Medicity Hospital,3.5 Floors,,5 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8438
"Beautiful House on sale at Thali, Kathamndu","1,60,00,000","Kathmandu, Kageshwori Manohara",Kathmandu,2.5 Floors,,10 Bed Room,3 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8434
"Residential House on sale at gokarna,Kathamndu","2,20,00,000","Kathmandu, Gokarneshwar",Kathmandu,2 Floors,,10 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8428
"A brand new bunglow on sale at Budhanilkantha, Kathmandu","5,80,00,000","Kathmandu, Budhanilkantha600m East from Budhanilkantha Temple
300m North from former Prime Minister Sher Bahadur Deuba's Residence.
200m South West from a 5-Star hotel under construction.",Kathmandu,2 Floors,,5 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8425
"Commercial House on Sale at Mahaboudha/Guchhatole,Kathmandu","3,00,00,000","Kathmandu, Mahaboudha, Gucchatole",Kathmandu,8 Floors,,8 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8419
"Commercial House on sale at Basundhara chowk, Kathmandu","2,60,00,000",Kathmandu,Kathmandu,4 Floors,,9 Bed Room,4 Bath Room,3 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8413
"Semi Commercial House on sale at Imadol,Lalitpur","2,50,00,000","Lalitpur, Imadol600 Away from gwarko chowk",Lalitpur,3 Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8408
"Residential House on sale at Ramkot/Sitapaila, Kathmandu","2,40,00,000","Kathmandu, NagarjunRamkot/Padam samaj",Kathmandu,2.5 Floors,,4 Bed Room,4 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8405
"Residential House on sale at Jorpati Narayantar, Kathmandu","1,42,00,000","Kathmandu, Jorpati",Kathmandu,2 Floors,,4 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8399
"Bungalow on sale at Chandol, Kathmandu","3,50,00,000",KathmanduNear Panchkanya,KathmanduNear Panchkanya,2 Floors,,4 Bed Room,3 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8397
"Beautiful House on sale at Sital Height imadol, Lalitpur","1,90,00,000","Lalitpur, Imadol, Sital heightR.K. Etta Bhatta, gwarko bata 3 km highway bata 1 km",Lalitpur,2.5 Floors,,6 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8387
"Residential House on sale at Lainchaur Peepalbote,Behind British Embassy, Kathmandu","1,70,00,000","Kathmandu, peepalboteBehind British Embassy",Kathmandu,5 Floors,,7 Bed Room,4 Bath Room,1 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8384
"Beautiful House on sale at Bouddha Mahangkal Oral,Kathmandu","2,25,00,000","Kathmandu, Mahangkal Oralo",Kathmandu,3.5 Floors,,4 Bed Room,4 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8381
"Commercial / Residential House on sale at Koteshwor,Kathmandu","3,30,00,000","Kathmandu, Nikhileshwor200 meters near from ringroad, koteshowar",Kathmandu,4 Floors,,12 Bed Room,5 Bath Room,2 Living Room,3 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8380
"Full furnished House on sale at  in front of Bharatpur medical college, Chitwan","16,00,00,000","Chitwan, BharatpurBharatpur Medical college",Chitwan,5 Floors,,37 Bed Room,38 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8378
"Full furnished House on sale at  in front of Bharatpur medical college, Chitwan","16,00,00,000","Chitwan, BharatpurBharatpur Medical college",Chitwan,5 Floors,,37 Bed Room,38 Bath Room,2 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8378
Full furnished House with land on sale at Thimi near Radhe Radhe mandir,"4,10,00,000","Bhaktapur, Madhyapur Thimi, bhatbhataniNear radhe radhe",Bhaktapur,2.5 Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8374
"Beautiful House on sale at Chandragiri, Matathirtha","1,35,00,000","Kathmandu, ChandragiriNear khushi khushi Hotel (ROLAND)",Kathmandu,2.5 Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8373
"Beautiful House on sale at Imadol,Lalitpur","1,33,00,000","Lalitpur, Imadol",Lalitpur,2.5 Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8370
Residential House on sale at Bafal,"90,00,000","Kathmandu, nagarjun200 meter near from bafal,ringroad",Kathmandu,3 Floors,,8 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8361
"Residential House on sale at pepsicola, near sun city apartment","2,45,00,000","Kathmandu, kadaghariNear sun city Apartment",Kathmandu,2.5 Floors,,6 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8356
"Residential House on sale at Lolang phaat 2 km from balaju bypass,Kathmandu","1,50,00,000","Kathmandu, Tarkeshwor2 Km From Balaju bypass",Kathmandu,2.5 Floors,,6 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8355
"Residential House on sale at Dahachowk, Kathmandu","1,35,00,000","Kathmandu, DahachokNear Kalapani chowk and srikrishna school",Kathmandu,2.5 Floors,,6 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8354
"Residential House on sale at syuchatar,Kathmandu","1,35,00,000","Kathmandu, Syuchatar500 meterw from LRI intl School",Kathmandu,2.5 Floors,,6 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8353
"House on sale at Narayani petrol pump Bafal, Kathamndu","2,00,00,000",Kathmandu,Kathmandu,2.5 Floors,,6 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8352
"House on sale at Bafal Near Matadevi petrol pump, Kathamndu","3,00,00,000",KathmanduNear Matadevi petrol pump,KathmanduNear Matadevi petrol pump,2.5 Floors,,6 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8351
"House on sale at Bafal, Kathmandu","4,50,00,000",KathmanduNear Gurukul School,KathmanduNear Gurukul School,2 Floors,,6 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8350
"House on sale at Tikathali,Lalitpur","2,10,00,000","Lalitpur, TikathaliIt Is only 300m away from kamal Pokhari.",Lalitpur,2.5 Floors,,5 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8348
House with land  on sale at balambu near chunadevi mandir.,"88,00,000","Kathmandu, Balambu",Kathmandu,2.5 Floors,,5 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8346
"Commercial building on sale at thamel,Kathamdu","28,00,00,000",Kathmandu,Kathmandu,2.5 Floors,,5 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8344
House on sale at maitidevi,"2,29,00,000",Kathmandu3 minutes distance from Maitidevi Chowk,Kathmandu3 minutes distance from Maitidevi Chowk,2.5 Floors,,8 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8340
Beautiful House on Sale in Bhaisepati ( 240 Lakh - Negotiable ),"2,70,00,000","KathmanduIn Colony with Good Houses, 50 meter 14 f't road connected 20 f't road",KathmanduIn Colony with Good Houses,2.5 Floors,,3 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8339
House on sale at Pepsicola,"1,90,00,000",Kathmanduअक्षरा बिधालय  सगै,Kathmanduअक्षरा बिधालय  सगै,2.5 Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8335
Bungalow on Sale at Sukedhara,"20,00,00,000",KathmanduLocated just 150 meter from ring road (Sukedhara),KathmanduLocated just 150 meter from ring road (Sukedhara),2.5 Floors,,4 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8317
House on Sale at Bafal,"4,50,00,000","Kathmandu, Chakhu marg",Kathmandu,4 Floors,,5 Bed Room,5 Bath Room,2 Living Room,3 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8316
"Residential house on sale nearby Deuba newas, Budanilkantha","2,90,00,000","Kathmandu, Budhanilkantha, Deuba niwasNearby Deuba Niwas",Kathmandu,3 Floors,,9 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8315
"Residential House on Sale at Dhalpa, Kirtipur","2,25,00,000","Kathmandu, Kirtipur, DhalpaNearby Ganesh Mandir",Kathmandu,3 Floors,,5 Bed Room,4 Bath Room,3 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8311
Residential House on sale at Lamatar,"1,15,00,000","Lalitpur, Lamatar",Lalitpur,1 Floors,,3 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8308
"2BHK Apartment on sale at Downtown, Dhapakhel","1,35,00,000","Lalitpur, DhapakhelFlat No",Lalitpur,1 Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8305
"Beautifully designed house on sale at Bhangal, Budanilkantha","3,85,00,000","Kathmandu, Budhanilkantha, Bhangal",Kathmandu,2.5 Floors,,5 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8304
"Beautiful residential house on sale at Harisiddhi, Mijal Housing","2,55,00,000","Lalitpur, Harisiddhi",Lalitpur,3 Floors,,5 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8303
"Bunglow on sale at Tinthana, Chandragiri","3,79,00,000","Kathmandu, Chandragiri, Tinthana",Kathmandu,3 Floors,,5 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8301
Commercial Building on Sale at Madhyapur Thimi,"2,77,00,000","Bhaktapur, Madhyapur ThimiBaagdhara Chowk of Madhyapur Thimi",Bhaktapur,3 Floors,,5 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8295
House on Sale @ Budhanilkantha,"1,55,00,000","Kathmandu, Bishnu BudhanilkanthaNeraby Shiva Mandir.",Kathmandu,Two And Half Floors,,5 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8283
House On Sale At Imadol,"1,70,00,000","Lalitpur, Mahalaxmi",Lalitpur,Two And Half Floors,,5 Bed Room,5 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=8281
"Residential House On Sale At At Tokha, Kathmandu","2,30,00,000","Kathmandu, Tokha, Ward No.",Kathmandu,Two And Half Floors,,5 Bed Room,2 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8279
"Fully Furnished Semi Bungalow On Sale At Budhnilkantha, Kathmandu","2,95,00,000","Kathmandu, Bishnu Budhanilkantha, Ward No.",Kathmandu,Three Floors,,5 Bed Room,5 Bath Room,3 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8278
"Residential House On Sale At Pepsicola, Kathmandu","1,50,00,000","Kathmandu, पुरानो सिनामंगल500 meter near from Pepsicola Chowk.",Kathmandu,Two Floors,,4 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8277
"Residential House On Sale At Goldhunga, Kathmandu","1,90,00,000","Kathmandu, Tarkeshwar, Ganeshsthan",Kathmandu,Two And Half Floors,,5 Bed Room,3 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=8276
